slug,title,hub,words,internal_links,incoming_internal_links,sources,has_meta_title,has_meta_description,has_focus_keyword,has_fact_check,has_featured_image,needs_pillar_link,needs_asset_link,issues,priority_score
how-to-reset-after-a-bad-night-sleep,How to Reset After a Bad Night's Sleep,sleep,944,6,3,3,True,True,True,True,True,False,False,,0
morning-light-and-sleep,Morning Light and Sleep: A Simple Habit for Better Rhythm,sleep,908,4,4,3,True,True,True,True,True,False,False,,0
phone-free-bedtime-routine,Phone-Free Bedtime Routine: How to Make Nights Feel Calmer,sleep,952,6,3,3,True,True,True,True,True,False,False,,0
sleep-debt-recovery-guide,Sleep Debt Recovery Guide: How to Reset After Short Nights,sleep,917,4,8,3,True,True,True,True,True,False,False,,0
sleep-friendly-evening-routine,Sleep-Friendly Evening Routine: Simple Cues for Better Rest,sleep,938,5,6,3,True,True,True,True,True,False,False,,0
sleep-hygiene-checklist,Sleep Hygiene Checklist for Everyday Life,sleep,955,3,10,2,True,True,True,True,True,False,False,,0
stress-affects-sleep,How Stress Affects Sleep and What You Can Do,sleep,906,7,7,2,True,True,True,True,True,False,False,,0
weekend-reset-for-better-sleep,Weekend Reset for Better Sleep Without Wrecking Monday,sleep,953,6,2,4,True,True,True,True,True,False,False,,0
weekend-sleep-schedule,Weekend Sleep Schedule: How to Rest Without Wrecking Monday,sleep,921,7,2,3,True,True,True,True,True,False,False,,0
why-you-wake-up-tired,Why You Wake Up Tired: Common Causes and Simple Fixes,sleep,936,5,5,3,True,True,True,True,True,False,False,,0
beginner-meditation-guide,Beginner Meditation Guide for a Calmer Mind,stress_mindfulness,930,7,2,2,True,True,True,True,True,False,False,,0
calm-down-when-stress-feels-overwhelming,How to Calm Down When Stress Feels Overwhelming,stress_mindfulness,903,4,3,3,True,True,True,True,True,False,False,,0
daily-stress-relief-routine,How to Build a Daily Stress Relief Routine That Actually Fits,stress_mindfulness,910,5,6,3,True,True,True,True,True,False,False,,0
grounding-techniques-for-stress,Grounding Techniques for Stress: Simple Ways to Feel Present Again,stress_mindfulness,964,5,4,3,True,True,True,True,True,False,False,,0
how-to-avoid-burnout,How to Avoid Burnout With Better Daily Boundaries,stress_mindfulness,951,4,6,2,True,True,True,True,True,False,False,,0
how-to-wind-down-after-work,How to Wind Down After Work Without Carrying the Day Home,stress_mindfulness,967,5,3,3,True,True,True,True,True,False,False,,0
journaling-for-mental-clarity,"Journaling for Mental Clarity: Benefits, Prompts, and How to Start",stress_mindfulness,1200,7,7,4,True,True,True,True,True,False,True,link_to_asset,0
morning-stress-reset,Morning Stress Reset: How to Start the Day Calmer,stress_mindfulness,954,5,2,3,True,True,True,True,True,False,False,,0
simple-breathing-exercises,Simple Breathing Exercises for Everyday Stress,stress_mindfulness,983,4,17,2,True,True,True,True,True,False,False,,0
simple-relaxation-techniques,Simple Relaxation Techniques for Stress Relief,stress_mindfulness,932,5,5,3,True,True,True,True,True,False,False,,0
simple-self-care-checklist,Simple Self-Care Checklist for Real-Life Stress,stress_mindfulness,945,5,4,3,True,True,True,True,True,False,False,,0
stress-and-screen-time,Stress and Screen Time: How to Create Calmer Digital Boundaries,stress_mindfulness,918,5,3,3,True,True,True,True,True,False,False,,0
stress-journaling-prompts,Stress Journaling Prompts for Overthinking and Mental Clutter,stress_mindfulness,931,5,3,3,True,True,True,True,True,False,False,,0
stress-management-guide,Stress Management Guide: Practical Ways to Reduce Everyday Stress,stress_mindfulness,1139,16,22,4,True,True,True,True,True,False,False,,0
stress-reset-checklist-printable,Stress Reset Checklist Printable,stress_mindfulness,1084,7,22,3,True,True,True,True,True,False,False,,0
work-stress-reset-routine,Work Stress Reset: A Practical Routine for Busy Days,stress_mindfulness,907,7,2,3,True,True,True,True,True,False,False,,0
beginner-guide-to-balanced-living,Beginner Guide to Balanced Living: A Practical Wellness Framework,wellness_lifestyle,957,6,2,4,True,True,True,True,True,False,False,,0
daily-wellness-routine-beginners,Daily Wellness Routine for Beginners,wellness_lifestyle,948,13,19,2,True,True,True,True,True,False,False,,0
digital-wellness-routine,Digital Wellness Routine: Healthier Screen Boundaries for Everyday Life,wellness_lifestyle,946,6,4,3,True,True,True,True,True,False,False,,0
healthy-habits-when-life-feels-busy,Healthy Habits When Life Feels Busy: A Realistic Guide,wellness_lifestyle,929,6,6,3,True,True,True,True,True,False,False,,0
how-to-build-a-simple-wellness-plan,How to Build a Simple Wellness Plan That Fits Real Life,wellness_lifestyle,1071,4,5,4,True,True,True,True,True,False,True,link_to_asset,0
how-to-build-a-weekly-reset-routine,How to Build a Weekly Reset Routine That Actually Helps,wellness_lifestyle,955,5,2,3,True,True,True,True,True,False,False,,0
how-to-stay-consistent-with-healthy-habits,How to Stay Consistent With Healthy Habits Without Perfection,wellness_lifestyle,936,6,2,4,True,True,True,True,True,False,False,,0
simple-energy-boosting-habits,Simple Energy-Boosting Habits for Steadier Days,wellness_lifestyle,945,6,2,4,True,True,True,True,True,False,False,,0
sustainable-wellness-routine,How to Build a Sustainable Wellness Routine,wellness_lifestyle,917,6,4,2,True,True,True,True,True,False,False,,0
